title,n_enrolled,Level,language,prices,category,course_duration
How to Learn Online,124980.0,Introductory,English,49.0,Education,4.0
Programming for Everybody (Getting Started with Python),293864.0,Introductory,English,49.0,Science,21.0
CS50's Introduction to Computer Science,2442271.0,Introductory,English,90.0,Science,144.0
The Analytics Edge,129555.0,Intermediate,English,199.0,Science,156.0
Marketing Analytics: Marketing Measurement Strategy,81140.0,Introductory,English,249.0,Science,24.0
Introduction to Project Management,301793.0,Introductory,English,199.0,Business,12.0
Leading High-Performing Teams,32847.0,Intermediate,English,5.0,Comunication,90.0
The Foundations of Happiness at Work,67073.0,Introductory,English,199.0,Business,8.0
"Managing Study, Stress and Mental Health at University",23061.0,Introductory,English,49.0,Health & Safety,4.0
Six Sigma: Define and Measure,92411.0,Introductory,English,99.0,Business,32.0
Fat Chance: Probability from the Ground Up,66835.0,Introductory,English,49.0,Education,28.0
Chasing your Dream: How to End Procrastination and Get a Job You Love,44711.0,Introductory,English,49.0,Comunication,20.0
Bitcoin and Cryptocurrencies,83398.0,Introductory,English,99.0,Science,24.0
English Grammar and Style,53209.0,Introductory,English,99.0,Education,32.0
Ethics in Action,6366.0,Intermediate,English,49.0,Education,30.0
Introduction to FinTech,72767.0,Introductory,English,199.0,Business,12.0
Data Science: R Basics,528782.0,Introductory,English,49.0,Science,16.0
Python Basics for Data Science,228809.0,Introductory,English,39.0,Science,20.0
The Science of Beer,39085.0,Introductory,English,49.0,Business,18.0
Strategic Social Media Marketing,103640.0,Advanced,English,399.0,Business,30.0
CS50's Introduction to Artificial Intelligence with Python,258006.0,Introductory,English,199.0,Science,140.0
CS50's Introduction to Game Development,346748.0,Intermediate,English,149.0,Science,96.0
Rhetoric: The Art of Persuasive Writing and Public Speaking,320225.0,Introductory,English,99.0,Education,16.0
CS50's Web Programming with Python and JavaScript,698950.0,Intermediate,English,90.0,Science,96.0
Contract Law: From Trust to Promise to Contract,414181.0,Intermediate,English,125.0,Business,32.0
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",380167.0,Introductory,English,99.0,Education,20.0
Justice,392588.0,Introductory,English,99.0,Education,48.0
Data Science: Machine Learning,276209.0,Introductory,English,49.0,Science,24.0
Child Protection: Children's Rights in Theory and Practice,212453.0,Introductory,English,99.0,Education,64.0
IELTS Academic Test Preparation,1103777.0,Introductory,English,99.0,Comunication,64.0
The Architectural Imagination,406181.0,Introductory,English,99.0,Education,40.0
TOEFL® Test Preparation: The Insider’s Guide,1022489.0,Introductory,English,49.0,Comunication,18.0
Principles of Biochemistry,257600.0,Intermediate,English,199.0,Education,75.0
Using Python for Research,262183.0,Intermediate,English,99.0,Science,36.0
Hinduism Through Its Scriptures,140782.0,Introductory,English,99.0,Education,32.0
Basic Spanish 1: Getting Started,400169.0,Introductory,English,40.0,Comunication,28.0
The Health Effects of Climate Change,110024.0,Introductory,English,99.0,Education,28.0
Inglés básico: conversacional y networking,79671.0,Introductory,Spanish,49.0,Business,24.0
Statistics and R,314586.0,Intermediate,English,249.0,Science,12.0
Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),145011.0,Introductory,English,199.0,Science,32.0
Pyramids of Giza: Ancient Egyptian Art and Archaeology,123870.0,Introductory,English,99.0,Education,24.0
"PredictionX: Omens, Oracles & Prophecies",91566.0,Introductory,English,25.0,Education,4.0
Excel: Fundamentos y herramientas,284279.0,Introductory,Spanish,50.0,Science,32.0
Lessons from Ebola: Preventing the Next Pandemic,91983.0,Introductory,English,49.0,Education,16.0
Improving Global Health: Focusing on Quality and Safety,127353.0,Intermediate,English,99.0,Education,30.0
CS50 for Lawyers,87336.0,Introductory,English,99.0,Science,40.0
Data Science: Visualization,171258.0,Introductory,English,49.0,Science,16.0
Christianity Through Its Scriptures,125051.0,Introductory,English,99.0,Education,32.0
The Science of Happiness,475614.0,Introductory,English,169.0,Education,44.0
Leaders of Learning,231131.0,Introductory,English,99.0,Comunication,30.0
Exercising Leadership: Foundational Principles,57814.0,Introductory,English,99.0,Business,8.0
Data Science: Probability,135859.0,Introductory,English,49.0,Science,16.0
Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,117410.0,Intermediate,English,70.0,Education,20.0
"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",80082.0,Introductory,English,99.0,Education,32.0
Introduction to Family Engagement in Education,105146.0,Introductory,English,70.0,Education,18.0
Italian Language and Culture: Beginner (2019-2020),182462.0,Introductory,Italian,49.0,Education,48.0
Steps in Japanese for Beginners1 Part1,53630.0,Introductory,English,49.0,Education,20.0
How to Write an Essay,306787.0,Introductory,English,49.0,Education,30.0
Energy Within Environmental Constraints,95324.0,Introductory,English,99.0,Education,40.0
Introduction to Probability,97291.0,Intermediate,English,99.0,Science,80.0
AnatomyX: Musculoskeletal Cases,102075.0,Intermediate,English,99.0,Education,28.0
Data Science: Inference and Modeling,88256.0,Introductory,English,49.0,Science,16.0
Strengthening Community Health Worker Programs,58626.0,Introductory,English,79.0,Health & Safety,18.0
Buddhism Through Its Scriptures,182295.0,Introductory,English,99.0,Education,32.0
Introduction to Linux,642088.0,Introductory,English,199.0,Science,84.0
"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",81221.0,Introductory,English,99.0,Education,20.0
Shakespeare's Life and Work,48938.0,Introductory,English,49.0,Education,24.0
Marketing Digital: Content & Community Manager,112623.0,Introductory,Spanish,49.0,Comunication,20.0
Accounting and Finance,88243.0,Intermediate,English,150.0,Business,33.0
Computing in Python I: Fundamentals and Procedural Programming,141966.0,Introductory,English,99.0,Science,50.0
"Nutrition, Exercise and Sports",51679.0,Intermediate,English,49.0,Business,36.0
Becoming an Entrepreneur,104760.0,Introductory,English,69.0,Business,12.0
"Religion, Conflict and Peace",74060.0,Introductory,English,49.0,Education,48.0
"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",61139.0,Introductory,English,49.0,Education,20.0
Academic and Business Writing,322701.0,Introductory,English,49.0,Comunication,24.0
Data Science: Capstone,62803.0,Introductory,English,99.0,Science,36.0
Basics of Computing and Programming,37045.0,Introductory,English,200.0,Science,63.0
"Fundamentals of Neuroscience, Part 2: Neurons and Networks",84874.0,Introductory,English,99.0,Education,24.0
Successful Negotiation: Essential Strategies and Skills,31369.0,Introductory,English,49.0,Business,21.0
Data Science: Linear Regression,75310.0,Introductory,English,49.0,Science,16.0
HTML5 and CSS Fundamentals,335895.0,Introductory,English,199.0,Science,30.0
Data Science: Productivity Tools,66683.0,Introductory,English,49.0,Science,16.0
Introduction to Corporate Finance,98093.0,Introductory,English,225.0,Business,16.0
Computer Science 101,39540.0,Introductory,English,149.0,Science,30.0
Data Science: Wrangling,64584.0,Introductory,English,49.0,Science,16.0
A Hands-on Introduction to Engineering Simulations,187138.0,Intermediate,English,199.0,Science,30.0
AI for Everyone: Master the Basics,49340.0,Introductory,English,49.0,Science,8.0
The Psychology of Criminal Justice,110086.0,Introductory,English,99.0,Education,16.0
Machine Learning with Python: A Practical Introduction,80161.0,Introductory,English,39.0,Science,25.0
Analyzing Data with Python,94079.0,Introductory,English,39.0,Science,15.0
Excel: gestión de datos,111785.0,Intermediate,Spanish,75.0,Science,30.0
Probability - The Science of Uncertainty and Data,205615.0,Advanced,English,300.0,Science,192.0
"Fundamentals of Neuroscience, Part 3: The Brain",85034.0,Introductory,English,99.0,Education,32.0
Sikhism Through Its Scriptures,44125.0,Introductory,English,99.0,Education,32.0
Upper-Intermediate English: Business and Modern Life,77991.0,Intermediate,English,50.0,Education,16.0
Religious Literacy: Traditions and Scriptures,96972.0,Introductory,English,99.0,Education,32.0
Programación para todos (empezando con Python),81004.0,Introductory,Spanish,49.0,Science,21.0
Analyzing and Visualizing Data with Power BI,28879.0,Introductory,English,99.0,Science,60.0
High-Dimensional Data Analysis,78443.0,Advanced,English,149.0,Science,12.0
Introduction To Music Theory,67029.0,Introductory,English,49.0,Education,24.0
Human Anatomy,126850.0,Introductory,English,139.0,Education,24.0
"CitiesX: The Past, Present and Future of Urban Life",76874.0,Introductory,English,99.0,Education,66.0
The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,24208.0,Introductory,English,99.0,Education,26.0
Entrepreneurship 101: Who is your customer?,41838.0,Introductory,English,49.0,Business,30.0
"U.S. Public Policy: Social, Economic, and Foreign Policies",44045.0,Introductory,English,49.0,Education,12.0
Machine Learning with Python: from Linear Models to Deep Learning,85561.0,Advanced,English,300.0,Science,180.0
Introduction to Data Science,43766.0,Introductory,English,39.0,Science,24.0
Circuits and Electronics 1: Basic Circuit Analysis,52639.0,Introductory,English,169.0,Science,30.0
Introduction to Investments,91788.0,Intermediate,English,50.0,Business,20.0
Improving Your Business Through a Culture of Health,54136.0,Introductory,English,99.0,Business,18.0
Introduction to Linear Models and Matrix Algebra,92004.0,Intermediate,English,149.0,Education,12.0
DO Your Venture: Entrepreneurship For Everyone,61989.0,Introductory,English,150.0,Business,24.0
El valor de la creatividad y la innovación: La Economía Naranja,23728.0,Introductory,Spanish,25.0,Education,24.0
Humanitarian Response to Conflict and Disaster,119891.0,Introductory,English,99.0,Health & Safety,20.0
"Women Making History: Ten Objects, Many Stories",38939.0,Introductory,English,99.0,Education,16.0
Masterpieces of World Literature,88789.0,Introductory,English,149.0,Education,72.0
SQL for Data Science,39184.0,Introductory,English,39.0,Science,12.0
El cerebro y las emociones en el lenguaje,41279.0,Introductory,Spanish,49.0,Comunication,20.0
Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),62673.0,Introductory,English,169.0,Education,32.0
Python: aprender a programar,21613.0,Introductory,Spanish,49.0,Science,32.0
Marketing Analytics: Competitive Analysis and Market Segmentation,70682.0,Intermediate,English,249.0,Science,24.0
MalariaX: Defeating Malaria from the Genes to the Globe,37598.0,Intermediate,English,49.0,Education,32.0
Entrepreneurship in Emerging Economies,113602.0,Introductory,English,125.0,Business,24.0
JavaScript Introduction,160112.0,Introductory,English,199.0,Science,35.0
People Management,113592.0,Introductory,English,150.0,Business,18.0
Using Email for Networking in English,57208.0,Introductory,English,149.0,Education,16.0
Databases: Relational Databases and SQL,20502.0,Introductory,English,50.0,Science,18.0
C Programming: Getting Started,104108.0,Introductory,English,49.0,Science,21.0
Supply Chain Analytics,145049.0,Introductory,English,199.0,Business,150.0
Programming for the Web with JavaScript,91406.0,Intermediate,English,149.0,Science,28.0
Introduction to Digital Humanities,37501.0,Introductory,English,99.0,Education,21.0
Upper-Intermediate English: Business and Industry,103704.0,Intermediate,English,50.0,Education,16.0
EmSAT English Preparation - Level 1,29101.0,Introductory,English,49.0,Education,12.0
Python for Data Science,266978.0,Advanced,English,350.0,Science,90.0
Empathy and Emotional Intelligence at Work,45867.0,Introductory,English,199.0,Business,8.0
Design Thinking and Creativity for Innovation,47549.0,Intermediate,English,5.0,Business,90.0
China and Communism,69104.0,Introductory,English,139.0,Education,30.0
Mandarin Chinese Level 1,56040.0,Introductory,English,149.0,Education,42.0
Introduction to Biology - The Secret of Life,147512.0,Introductory,English,150.0,Education,128.0
Photoshop: una herramienta para presentaciones innovadoras,22969.0,Introductory,Spanish,19.0,Education,45.0
Causal Diagrams: Draw Your Assumptions Before Your Conclusions,50949.0,Introductory,English,99.0,Science,18.0
生活英语听说 | Conversational English Skills,301585.0,Introductory,English,49.0,Comunication,30.0
Shakespeare’s Othello: The Moor,31868.0,Introductory,English,49.0,Education,24.0
Basic Spanish 2: One Step Further,67687.0,Introductory,English,50.0,Education,16.0
Financial Market Analysis,37452.0,Intermediate,English,25.0,Business,63.0
CS50's Computer Science for Business Professionals,73208.0,Introductory,English,90.0,Science,24.0
Gobierno Digital,18883.0,Introductory,Spanish,25.0,Education,16.0
Upper-Intermediate English: Business and Globalization,58532.0,Intermediate,English,50.0,Education,16.0
The Opioid Crisis in America,54805.0,Introductory,English,99.0,Education,20.0
Gestión de Proyectos de Desarrollo,306286.0,Introductory,Spanish,49.0,Business,40.0
Statistical Learning,27968.0,Introductory,English,50.0,Science,36.0
Introduction to Social Psychology,79365.0,Introductory,English,99.0,Education,14.0
Artificial Intelligence (AI),265104.0,Advanced,English,249.0,Science,108.0
American Government: Constitutional Foundations,35504.0,Introductory,English,49.0,Education,12.0
Introducción a la inversión bursátil,64261.0,Introductory,Spanish,50.0,Business,8.0
Japanese Books: From Manuscript to Print,17581.0,Introductory,English,100.0,Education,18.0
Foundations of Modern Finance  I,24108.0,Advanced,English,450.0,Business,144.0
Operations Management,126093.0,Intermediate,English,150.0,Business,21.0
Marketing Management,80010.0,Intermediate,English,150.0,Business,27.0
Marketing enfocado en la estrategia de servicios,24618.0,Introductory,Spanish,119.0,Business,36.0
Introduction to Marketing,169126.0,Introductory,English,150.0,Business,24.0
Programming Basics,215059.0,Introductory,English,149.0,Science,63.0
Probability and Statistics in Data Science using Python,106286.0,Advanced,English,350.0,Science,110.0
HTML5 Coding Essentials and Best Practices,241287.0,Intermediate,English,199.0,Science,42.0
First Nights - Beethoven's 9th Symphony and the 19th Century Orchestra,37426.0,Introductory,English,49.0,Education,12.0
Cell Biology: Mitochondria,64142.0,Introductory,English,99.0,Education,12.0
"Algorithms: Design and Analysis, Part 1",20163.0,Intermediate,English,149.0,Science,18.0
Introducción al Office 365,16470.0,Introductory,Spanish,75.0,Science,14.0
Creative Thinking: Techniques and Tools for Success,54787.0,Introductory,English,49.0,Education,21.0
Upper-Intermediate English: Business and Technology,47451.0,Intermediate,English,50.0,Education,16.0
Shakespeare's Hamlet: The Ghost,38331.0,Introductory,English,49.0,Education,24.0
FlashDiet: Aprende a comer sano,48105.0,Introductory,Spanish,50.0,Business,10.0
CS50's Understanding Technology,50030.0,Introductory,English,90.0,Science,24.0
Introduction to Aerospace Structures and Materials,37126.0,Introductory,English,50.0,Science,40.0
Visualizing Data with Python,42101.0,Intermediate,English,39.0,Science,15.0
Success: Practical Thinking Skills,24414.0,Introductory,English,50.0,Education,20.0
English for Doing Business in Asia – Speaking,68422.0,Introductory,English,60.0,Education,28.0
Nutrition and Health: Macronutrients and Overnutrition,208582.0,Introductory,English,99.0,Education,63.0
"Contemporary China: The People's Republic, Taiwan, and Hong Kong",66771.0,Introductory,English,139.0,Education,30.0
Introduction to Clinical Psychology,57234.0,Introductory,English,99.0,Education,14.0
Modern Masterpieces of World Literature,48049.0,Introductory,English,99.0,Education,32.0
"Citizen Politics in America: Public Opinion, Elections, Interest Groups, and the Media",24259.0,Introductory,English,49.0,Education,12.0
Applied Scrum for Agile Project Management,55293.0,Advanced,English,199.0,Science,8.0
Corporate Finance,62798.0,Intermediate,English,150.0,Business,20.0
Judaism Through Its Scriptures,50540.0,Introductory,English,99.0,Education,32.0
Excel avanzado: importación y análisis de datos,47184.0,Advanced,Spanish,75.0,Science,32.0
CSS Basics,95163.0,Introductory,English,199.0,Science,30.0
Unlocking Information Security: Part I,19905.0,Intermediate,English,149.0,Science,30.0
Becoming an Effective Leader,55937.0,Intermediate,English,99.0,Comunication,90.0
Digital Branding and Engagement,122977.0,Intermediate,English,99.0,Comunication,16.0
Introduction to Cybersecurity,73021.0,Introductory,English,199.0,Science,24.0
General Academic English|生活英语进阶,17526.0,Introductory,English,49.0,Education,32.0
Gestión de personas: Recursos Humanos,19687.0,Introductory,Spanish,119.0,Business,30.0
From Poverty to Prosperity: Understanding Economic Development,91062.0,Intermediate,English,149.0,Education,12.0
Medical Terminology,31354.0,Introductory,English,79.0,Education,64.0
Ancient Masterpieces of World Literature,48899.0,Introductory,English,99.0,Education,24.0
Shakespeare's The Merchant of Venice: Shylock,23283.0,Introductory,English,49.0,Education,24.0
Gestión del estrés y Mindfulness,15965.0,Introductory,Spanish,49.0,Health & Safety,16.0
Behavioural Economics in Action,66764.0,Introductory,English,139.0,Business,24.0
Finance for Everyone: Smart Tools for Decision-Making,45029.0,Introductory,English,49.0,Business,36.0
Creating Innovative Business Models,12227.0,Introductory,English,149.0,Business,8.0
u.lab: Leading From the Emerging Future,79424.0,Introductory,English,99.0,Business,70.0
Electric Cars: Introduction,56171.0,Intermediate,English,50.0,Science,16.0
Inteligencia Artificial para todos: Domina los fundamentos,11764.0,Introductory,Spanish,49.0,Science,8.0
Marketing Analytics,55228.0,Advanced,English,249.0,Business,108.0
Introducción a la Regulación Emocional basada en Mindfulness,20634.0,Introductory,Spanish,49.0,Health & Safety,24.0
Design Thinking Fundamentals,56446.0,Intermediate,English,299.0,Business,60.0
Basic Spanish 3: Getting there,17569.0,Introductory,English,50.0,Education,16.0
Mi propia huerta orgánica,11346.0,Introductory,Spanish,29.0,Education,8.0
Sustainability in Architecture: An Interdisciplinary Introduction,31352.0,Intermediate,English,50.0,Education,16.0
Gestión de riesgos en proyectos de desarrollo,47676.0,Intermediate,Spanish,25.0,Business,20.0
Python Data Structures,36369.0,Introductory,English,49.0,Science,21.0
The Science and Business of Biotechnology,17039.0,Intermediate,English,49.0,Business,176.0
Finance Essentials,63666.0,Introductory,English,79.0,Business,18.0
Introduction to the Internet of Things (IoT),89421.0,Introductory,English,149.0,Science,12.0
'Talk to me': Improving mental health and suicide prevention in young adults,11481.0,Introductory,English,139.0,Health & Safety,12.0
Disaster Medicine Training,10937.0,Introductory,English,50.0,Education,16.0
Nutrition and Health: Human Microbiome,44079.0,Introductory,English,49.0,Health & Safety,24.0
Customer Relationship Management,53085.0,Intermediate,English,50.0,Business,24.0
Islam Through Its Scriptures,65430.0,Introductory,English,99.0,Education,32.0
Mechatronics Revolution: Fundamentals and Core Concepts,11619.0,Introductory,English,149.0,Science,112.0
Accounting for Decision-Making,57710.0,Intermediate,English,150.0,Business,28.0
C Programming: Language Foundations,46400.0,Introductory,English,49.0,Science,21.0
Big Data sin misterios,65564.0,Intermediate,Spanish,25.0,Science,40.0
Becoming a Successful Leader (Inclusive Leadership Training),215705.0,Introductory,English,49.0,Comunication,8.0
"English for Journalists, Part 1",50847.0,Intermediate,English,139.0,Comunication,20.0
Introduction to Networking,16134.0,Introductory,English,150.0,Science,28.0
Accounting Essentials,58463.0,Introductory,English,79.0,Business,24.0
Introduction to Java Programming: Starting to code in Java,325554.0,Introductory,English,149.0,Science,40.0
European Paintings: From Leonardo to Rembrandt to Goya,60734.0,Introductory,English,99.0,Education,14.0
Java Programming Fundamentals,12042.0,Intermediate,English,49.0,Science,45.0
"Hollywood: History, Industry, Art",50033.0,Introductory,English,169.0,Comunication,16.0
Data Science Tools,15627.0,Introductory,English,39.0,Science,35.0
Statistical Thinking for Data Science and Analytics,198861.0,Introductory,English,99.0,Science,40.0
Philosophy and Critical Thinking,97175.0,Introductory,English,99.0,Education,12.0
International Law,91868.0,Advanced,English,150.0,Education,84.0
Tourism and Travel Management,38503.0,Introductory,English,5.0,Business,14.0
Project Management Life Cycle,120019.0,Intermediate,English,150.0,Business,100.0
Solar Energy,125069.0,Introductory,English,50.0,Science,56.0
Public Speaking,10129.0,Introductory,English,199.0,Comunication,15.0
Japanese Pronunciation for Communication,62757.0,Introductory,Japanese,99.0,Comunication,20.0
Mindfulness and Resilience to Stress at Work,33414.0,Introductory,English,199.0,Business,8.0
Framing Your Communication to Inspire and Convince,49351.0,Intermediate,English,125.0,Business,20.0
Business Foundations,55154.0,Introductory,English,150.0,Business,24.0
The Chemistry of Life,78704.0,Introductory,English,49.0,Education,26.0
Nutrition and Health: Micronutrients and Malnutrition,78266.0,Intermediate,English,99.0,Education,49.0
Digital Design,12339.0,Introductory,English,50.0,Business,30.0
Machine Learning for Data Science and Analytics,140419.0,Introductory,English,99.0,Science,40.0
The Science of Everyday Thinking,318399.0,Introductory,English,99.0,Business,24.0
